art,per,gname,mname,fname
http://scholars.cornell.edu/individual/UR-431179,http://scholars.cornell.edu/individual/wrz2,Warren,R,Zipfel
http://scholars.cornell.edu/individual/UR-271012,http://scholars.cornell.edu/individual/hgc1,Harold,G,Craighead
http://scholars.cornell.edu/individual/UR-417506,http://scholars.cornell.edu/individual/mgs22,Michael,G,Spencer
http://scholars.cornell.edu/individual/UR-27605,http://scholars.cornell.edu/individual/laa25,Lynden,A,Archer
http://scholars.cornell.edu/individual/UR-6962,http://scholars.cornell.edu/individual/raj15,Robert,A,Jarrow
http://scholars.cornell.edu/individual/UR-415201,http://scholars.cornell.edu/individual/nmm63,Natalie,M,Mahowald
http://scholars.cornell.edu/individual/UR-302768,http://scholars.cornell.edu/individual/jmg18,James,Michael,Gossett
http://scholars.cornell.edu/individual/UR-417631,http://scholars.cornell.edu/individual/cjf76,Craig,James,Fennie
http://scholars.cornell.edu/individual/UR-415581,http://scholars.cornell.edu/individual/cko3,Christopher,Kemper,Ober
http://scholars.cornell.edu/individual/UR-416906,http://scholars.cornell.edu/individual/dha7,David,H,Albonesi
http://scholars.cornell.edu/individual/UR-418011,http://scholars.cornell.edu/individual/jd694,Jiangang,,Dai
http://scholars.cornell.edu/individual/UR-136041,http://scholars.cornell.edu/individual/rvl1,Richard,V E,Lovelace
http://scholars.cornell.edu/individual/UR-12304,http://scholars.cornell.edu/individual/apr5,Anthony,P,Reeves
http://scholars.cornell.edu/individual/UR-6965,http://scholars.cornell.edu/individual/raj15,Robert,A,Jarrow
http://scholars.cornell.edu/individual/UR-417291,http://scholars.cornell.edu/individual/rb88,Rajesh,,Bhaskaran
http://scholars.cornell.edu/individual/UR-416138,http://scholars.cornell.edu/individual/myl3,Michel,Yves,Louge
http://scholars.cornell.edu/individual/UR-417798,http://scholars.cornell.edu/individual/yw233,Yi,,Wang
http://scholars.cornell.edu/individual/UR-225564,http://scholars.cornell.edu/individual/mck13,Michael,Charles,Kelley
http://scholars.cornell.edu/individual/UR-114052,http://scholars.cornell.edu/individual/asl55,Adrian,S,Lewis
http://scholars.cornell.edu/individual/UR-365761,http://scholars.cornell.edu/individual/mgs22,Michael,G,Spencer
http://scholars.cornell.edu/individual/UR-250541,http://scholars.cornell.edu/individual/ldb7,Larry,Douglas,Brown
http://scholars.cornell.edu/individual/UR-363030,http://scholars.cornell.edu/individual/dr24,David,,Ruppert
http://scholars.cornell.edu/individual/UR-359770,http://scholars.cornell.edu/individual/jam61,John,Anthony,Muckstadt
http://scholars.cornell.edu/individual/UR-397177,http://scholars.cornell.edu/individual/dj326,Debdeep,,Jena
http://scholars.cornell.edu/individual/UR-369179,http://scholars.cornell.edu/individual/zw16,Zellman,,Warhaft
http://scholars.cornell.edu/individual/UR-361667,http://scholars.cornell.edu/individual/slp6,Stuart,Leigh,Phoenix
http://scholars.cornell.edu/individual/UR-417292,http://scholars.cornell.edu/individual/lad9,Louis,A,Derry
http://scholars.cornell.edu/individual/UR-325620,http://scholars.cornell.edu/individual/smk16,Suzanne,Mahlburg,Kay
http://scholars.cornell.edu/individual/UR-364476,http://scholars.cornell.edu/individual/zw16,Zellman,,Warhaft
http://scholars.cornell.edu/individual/UR-416391,http://scholars.cornell.edu/individual/dr24,David,,Ruppert
http://scholars.cornell.edu/individual/UR-396651,http://scholars.cornell.edu/individual/dj326,Debdeep,,Jena
http://scholars.cornell.edu/individual/UR-389770,http://scholars.cornell.edu/individual/ch45,Chung-Yuen,,Hui
http://scholars.cornell.edu/individual/UR-252476,http://scholars.cornell.edu/individual/jab16,Joseph,Arthur,Burns
http://scholars.cornell.edu/individual/UR-364616,http://scholars.cornell.edu/individual/cas12,Christine,Ann,Shoemaker
http://scholars.cornell.edu/individual/UR-415880,http://scholars.cornell.edu/individual/hc63,Hsiao-Dong,,Chiang
http://scholars.cornell.edu/individual/UR-441394,http://scholars.cornell.edu/individual/na424,Nelly,,Andarawis-Puri
http://scholars.cornell.edu/individual/UR-244164,http://scholars.cornell.edu/individual/cs385,Chris,,Schaffer
http://scholars.cornell.edu/individual/UR-244164,http://scholars.cornell.edu/individual/wlo1,William,Lee,Olbricht
http://scholars.cornell.edu/individual/UR-408258,http://scholars.cornell.edu/individual/hc63,Hsiao-Dong,,Chiang
http://scholars.cornell.edu/individual/UR-443911,http://scholars.cornell.edu/individual/pmr82,Patrick,Michael,Reed
http://scholars.cornell.edu/individual/UR-391864,http://scholars.cornell.edu/individual/rnz6,Roseanna,N,Zia
http://scholars.cornell.edu/individual/UR-435501,http://scholars.cornell.edu/individual/pll3,Philip,Li-Fan,Liu
http://scholars.cornell.edu/individual/UR-272183,http://scholars.cornell.edu/individual/hgc1,Harold,G,Craighead
http://scholars.cornell.edu/individual/UR-415860,http://scholars.cornell.edu/individual/hc63,Hsiao-Dong,,Chiang
http://scholars.cornell.edu/individual/UR-395971,http://scholars.cornell.edu/individual/gaa52,Geoffrey,Alexander,Abers
http://scholars.cornell.edu/individual/UR-16664,http://scholars.cornell.edu/individual/cjf76,Craig,James,Fennie
http://scholars.cornell.edu/individual/UR-6826,http://scholars.cornell.edu/individual/lb244,Lawrence,,Bonassar
http://scholars.cornell.edu/individual/UR-5849,http://scholars.cornell.edu/individual/raj15,Robert,A,Jarrow
http://scholars.cornell.edu/individual/UR-416548,http://scholars.cornell.edu/individual/rbv2,Robert,B,Van Dover
http://scholars.cornell.edu/individual/UR-310312,http://scholars.cornell.edu/individual/dah5,David,A,Hammer
http://scholars.cornell.edu/individual/UR-255063,http://scholars.cornell.edu/individual/lmc19,Lawrence,M,Cathles
http://scholars.cornell.edu/individual/UR-250404,http://scholars.cornell.edu/individual/ldb7,Larry,Douglas,Brown
http://scholars.cornell.edu/individual/UR-180348,http://scholars.cornell.edu/individual/dlk15,Donald,L,Koch
http://scholars.cornell.edu/individual/UR-365751,http://scholars.cornell.edu/individual/mgs22,Michael,G,Spencer
http://scholars.cornell.edu/individual/UR-417461,http://scholars.cornell.edu/individual/crp10,Clifford,Raymond,Pollock
http://scholars.cornell.edu/individual/UR-415842,http://scholars.cornell.edu/individual/lmc19,Lawrence,M,Cathles
http://scholars.cornell.edu/individual/UR-389872,http://scholars.cornell.edu/individual/ch45,Chung-Yuen,,Hui
http://scholars.cornell.edu/individual/UR-56358,http://scholars.cornell.edu/individual/cjf76,Craig,James,Fennie
http://scholars.cornell.edu/individual/UR-56358,http://scholars.cornell.edu/individual/nab83,Nicole,Ann,Benedek
http://scholars.cornell.edu/individual/UR-402326,http://scholars.cornell.edu/individual/tc345,Tsuhan,,Chen
http://scholars.cornell.edu/individual/UR-321236,http://scholars.cornell.edu/individual/jtj2,James,Thomas,Jenkins
http://scholars.cornell.edu/individual/UR-313773,http://scholars.cornell.edu/individual/sgh9,Shane,G,Henderson
http://scholars.cornell.edu/individual/UR-389769,http://scholars.cornell.edu/individual/ch45,Chung-Yuen,,Hui
http://scholars.cornell.edu/individual/UR-397154,http://scholars.cornell.edu/individual/dj326,Debdeep,,Jena
http://scholars.cornell.edu/individual/UR-250877,http://scholars.cornell.edu/individual/jrs27,James,Richard,Shealy
http://scholars.cornell.edu/individual/UR-233022,http://scholars.cornell.edu/individual/ea85,Ehsan,,Afshari
http://scholars.cornell.edu/individual/UR-452854,http://scholars.cornell.edu/individual/mh375,Ming,,Huang
http://scholars.cornell.edu/individual/UR-232263,http://scholars.cornell.edu/individual/jdb20,Joel,Donald,Brock
http://scholars.cornell.edu/individual/UR-367588,http://scholars.cornell.edu/individual/st222,Sandip,,Tiwari
http://scholars.cornell.edu/individual/UR-415908,http://scholars.cornell.edu/individual/hc63,Hsiao-Dong,,Chiang
http://scholars.cornell.edu/individual/UR-88811,http://scholars.cornell.edu/individual/eld26,Eve,Lorraine,Donnelly
http://scholars.cornell.edu/individual/UR-226215,http://scholars.cornell.edu/individual/mck13,Michael,Charles,Kelley
http://scholars.cornell.edu/individual/UR-128940,http://scholars.cornell.edu/individual/hgx2,Huili,Grace,Xing
http://scholars.cornell.edu/individual/UR-225972,http://scholars.cornell.edu/individual/mck13,Michael,Charles,Kelley
http://scholars.cornell.edu/individual/UR-383040,http://scholars.cornell.edu/individual/eld26,Eve,Lorraine,Donnelly
http://scholars.cornell.edu/individual/UR-416475,http://scholars.cornell.edu/individual/jwt54,Jefferson,William,Tester
http://scholars.cornell.edu/individual/UR-453756,http://scholars.cornell.edu/individual/rhf3,Robert,H,Frank
http://scholars.cornell.edu/individual/UR-20258,http://scholars.cornell.edu/individual/cko3,Christopher,Kemper,Ober
http://scholars.cornell.edu/individual/UR-278203,http://scholars.cornell.edu/individual/rd32,Rudiger,,Dieckmann
http://scholars.cornell.edu/individual/UR-134687,http://scholars.cornell.edu/individual/dah5,David,A,Hammer
http://scholars.cornell.edu/individual/UR-301411,http://scholars.cornell.edu/individual/dbs10,David,B,Shmoys
http://scholars.cornell.edu/individual/UR-269227,http://scholars.cornell.edu/individual/eac20,Edwin,Alfred,Cowen
http://scholars.cornell.edu/individual/UR-415975,http://scholars.cornell.edu/individual/hgc1,Harold,G,Craighead
http://scholars.cornell.edu/individual/UR-226499,http://scholars.cornell.edu/individual/dpl3,Daniel,Peter,Loucks
http://scholars.cornell.edu/individual/UR-226499,http://scholars.cornell.edu/individual/jrs5,Jery,Russell,Stedinger
http://scholars.cornell.edu/individual/UR-416801,http://scholars.cornell.edu/individual/sbp2,Stephen,Bailey,Pope
http://scholars.cornell.edu/individual/UR-415782,http://scholars.cornell.edu/individual/rgb6,Robert,Gary,Bland
http://scholars.cornell.edu/individual/UR-253457,http://scholars.cornell.edu/individual/mc288,Mark,,Campbell
http://scholars.cornell.edu/individual/UR-320013,http://scholars.cornell.edu/individual/zw24,Zheng,Jane,Wang
http://scholars.cornell.edu/individual/UR-368339,http://scholars.cornell.edu/individual/abw35,Aaron,B,Wagner
http://scholars.cornell.edu/individual/UR-330294,http://scholars.cornell.edu/individual/wmw4,William,M,White
http://scholars.cornell.edu/individual/UR-443337,http://scholars.cornell.edu/individual/dgm224,Douglas,Graham,MacMartin
http://scholars.cornell.edu/individual/UR-324616,http://scholars.cornell.edu/individual/eck5,Edwin,Chihchuan,Kan
http://scholars.cornell.edu/individual/UR-435554,http://scholars.cornell.edu/individual/cko3,Christopher,Kemper,Ober
http://scholars.cornell.edu/individual/UR-276433,http://scholars.cornell.edu/individual/md255,Matthew,,DeLisa
http://scholars.cornell.edu/individual/UR-402054,http://scholars.cornell.edu/individual/cx10,Chunhui,,Xu
http://scholars.cornell.edu/individual/UR-65536,http://scholars.cornell.edu/individual/cjf76,Craig,James,Fennie
http://scholars.cornell.edu/individual/UR-415807,http://scholars.cornell.edu/individual/jab16,Joseph,Arthur,Burns
http://scholars.cornell.edu/individual/UR-52076,http://scholars.cornell.edu/individual/jab16,Joseph,Arthur,Burns
